Date,Title,Author
11/3/2002,Baudolino,Umberto Eco
11/10/2002,The Little Friend,Donna Tartt
11/17/2002,Answered Prayers,Danielle Steel
11/17/2002,Blackwood Farms,Anne Rice
11/17/2002,Quentins,Maeve Binchy
11/17/2002,Esther's Gift,Jan Karon
11/17/2002,Reversible Errors,Scott Turow
11/24/2002,Chesapeake Blue,Nora Roberts
11/24/2002,Visions of Sugar Plums,Janet Evanovich
11/24/2002,The Christmas Train,David Baldacci
12/1/2002,The Last Promise,Richard Paul Evans
12/8/2002,Four Blind Mice,James Patterson 
12/15/2002,Prey,Michael Crichton
12/22/2002,Hornet Flight,Ken Follett
12/22/2002,The Christmas Shoes,Donna VanLiere
12/22/2002,The Last Jihad,Joel C. Rosenberg
12/29/2002,Life of Pi,Yann Martel
1/5/2003,,
1/12/2003,By the Light of the Moon,Dean Koontz
1/19/2003,Light in Shadow,Jayne Ann Krentz
1/19/2003,Forever,Pete Hamill
1/26/2003,Crossroads of Twilight,Robert Jordan
1/26/2003,Sons of Fortune,Jeffrey Archer
1/26/2003,The Arraignment,Steve Martini
1/26/2003,Whispers at Midnight,Karen Robards
2/2/2003,Atonement ,Ian McEwan
2/9/2003,The Bone Vault,Linda Fairstein
2/9/2003,The Time Love,Elizabeth Lowell
2/16/2003,Final Justice,W.E.B Griffin
2/16/2003,The First Law,John Lescroart
2/23/2003,The King of Torts,John Grisham
2/23/2003,The Cat Who Brought Down the House,Lilian Jackson Braun
2/23/2003,Pattern Recognition,William Gibson
2/23/2003,Liberty,Stephen Coonts
2/23/2003,The Best Revenge,Stephen White
2/23/2003,The Perfect Lover,Stephanie Laurens
3/2/2003,Flashback,Mevada Barr
3/2/2003,Late Bloomer,Fern Michaels
3/9/2003,Someone to Watch Over Me,Judith McNaught
3/9/2003,The Last Detective,Robert Crais
3/9/2003,Revenge od the Middle-Aged Woman,Elizabeth Buchan 
3/9/2003,Derailed,James Siegel
3/16/2003,The Confessor,Daniel Silva
